Zip_Code,County,City,Place,Type,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev
90713,Alameda County,Lakewood,Alameda city,Track,562,1055804,0,33.8532314,-118.1210795,89235,75940,67928
90808,Alameda County,Long Beach,Alameda city,Track,562,2613753,0,33.8395918,-118.1336246,112915,300000,81184
90712,Alameda County,Lakewood,Alameda city,Track,562,2150007,7783,33.8351031,-118.1600342,109386,99591,61244
90807,Alameda County,Long Beach,Alameda city,Track,562,908989,0,33.8481676,-118.1705772,75146,77305,43718
90813,Alameda County,Long Beach,Alameda city,Track,562,324505,0,33.793484,-118.1915444,37187,24828,35563
90806,Alameda County,Long Beach,Alameda city,Track,562,601726,0,33.8006191,-118.1853182,52087,37827,44889
90755,Alameda County,Signal Hill,Alameda city,Track,562,2961722,0,33.8016982,-118.1691428,48159,36506,43395
90815,Alameda County,Long Beach,Alameda city,Track,562,2450925,30093,33.7994363,-118.118082,77323,63316,42598
90804,Alameda County,Long Beach,Alameda city,Track,562,482518,0,33.7861934,-118.1534873,56802,39139,45798
90802,Alameda County,Long Beach,Alameda city,Track,562,320941,0,33.778962,-118.197207,41231,28386,39205
90814,Alameda County,Long Beach,Alameda city,Track,562,514751,0,33.7715757,-118.1642818,46423,47193,41724
90803,Alameda County,Long Beach,Alameda city,Track,562,889179,2184908,33.7556821,-118.1387992,109531,104705,76391
90704,Alameda County,Avalon,Alameda city,Track,310,3170331,673113,33.3421607,-118.3305291,76075,72859,47857
90303,Alameda County,Inglewood,Alameda city,Track,310,663353,930,33.9280513,-118.3307284,91096,80697,58117
90302,Alameda County,Inglewood,Alameda city,Track,310,800432,0,33.9720411,-118.3522568,34386,32606,21485
90301,Alameda County,Inglewood,Alameda city,Track,310,633250,0,33.9565607,-118.3475932,38939,32736,29338
90304,Alameda County,Lennox,Alameda city,Track,310,490797,0,33.9400822,-118.3635824,48218,36108,40359
90250,Alameda County,Hawthorne,Alameda city,Track,310,819871,0,33.9204031,-118.3581593,49456,40862,37525
90249,Alameda County,Gardena,Alameda city,Track,310,1899614,47515,33.9112721,-118.3195843,55800,52730,34950
90248,Alameda County,Gardena,Alameda city,Track,310,1105767,33318,33.8701465,-118.3023094,87607,300000,57683
90504,Alameda County,Torrance,Alameda city,Track,310,2539340,73275,33.8829956,-118.3393815,91949,300000,63391
90260,Alameda County,Lawndale,Alameda city,Track,310,666617,0,33.8985392,-118.3480963,55420,45831,36998
90266,Alameda County,Manhattan Beach,Alameda city,Track,310,1038671,0,33.8984626,-118.4050812,164396,206024,92189
90278,Alameda County,Redondo Beach,Alameda city,Track,310,2582464,0,33.8873629,-118.3699718,109016,300000,58288
90503,Alameda County,Torrance,Alameda city,Track,310,1332936,0,33.8530265,-118.3702822,114126,300000,62960
90505,Alameda County,Torrance,Alameda city,Track,310,1745701,0,33.8209956,-118.367527,125786,300000,66719
90274,Alameda County,Palos Verdes Estates,Alameda city,Track,310,4736537,593829,33.8001638,-118.3869835,150223,157006,81326
90275,Alameda County,Rancho Palos Verdes,Alameda city,Track,310,1499320,0,33.7671014,-118.3748916,122003,105522,80507
90048,Alameda County,Los Angeles,Alameda city,Track,323,1315939,0,34.0812987,-118.3811478,78427,62610,66805
90210,Alameda County,Beverly Hills,Alameda city,Track,310,5679680,5889,34.0892642,-118.4021007,167779,208338,93754
90212,Alameda County,Beverly Hills,Alameda city,Track,310,954427,0,34.0620828,-118.3944002,96430,89224,68380
90403,Alameda County,Santa Monica,Alameda city,Track,310,1941997,0,34.0412036,-118.4943488,157088,156861,84443
90405,Alameda County,Santa Monica,Alameda city,Track,310,1248774,0,34.0188907,-118.4789709,70151,46977,59443
91302,Alameda County,Calabasas,Alameda city,Track,818,27382093,2732,34.1150626,-118.685427,151185,300000,80376
91361,Alameda County,Westlake Village,Alameda city,Track,818,2020592,289880,34.1448378,-118.8170419,110295,97315,84170
91301,Alameda County,Agoura,Alameda city,Track,818,22557151,21764,34.1211089,-118.7391728,140704,300000,58244
90290,Alameda County,Topanga,Alameda city,Track,310,26486782,2849765,34.0516505,-118.6049503,136693,300000,73979
93535,Alameda County,Lancaster,Alameda city,Track,661,235291631,131773,34.7083865,-117.956249,53182,38578,53018
93534,Alameda County,Lancaster,Alameda city,Track,661,2093985,0,34.6819687,-118.14081,65709,56932,51199
93536,Alameda County,Lancaster,Alameda city,Track,661,2682476,0,34.6966423,-118.1748108,68162,57343,43746
93551,Alameda County,Palmdale,Alameda city,Track,661,14561199,4465,34.615092,-118.1350954,76484,62035,54730
93550,Alameda County,Palmdale,Alameda city,Track,661,1144854,0,34.5834907,-118.1256195,45383,35898,37879
91351,Alameda County,Canyon Country,Alameda city,Track,661,10767876,587,34.4620693,-118.395844,88448,300000,44857
91390,Alameda County,Agua Dulce,Alameda city,Track,661,163273448,12209,34.5455872,-118.4200954,91975,58769,86857
91350,Alameda County,Saugus,Alameda city,Track,661,2068708,8391,34.4474408,-118.5295759,84492,300000,48574
